channel_id,subscriber_count,total_video_count
"['보겸TV', 'UCu9BCtGIEr73LXZsKmoujKw']",1560만,9.3천
"['JYP Entertainment', 'UCaO6TYtlC8U5ttz62hTrZgg']",3040만,2.3천
"['늘이농', 'UCoFfV8sTi5PWKEdvJP2XzWQ']",37.5만,451
"['planD플랜디', 'UCPaApoLkmPqxCeZF7gjoc3w']",225만,256
"['JTBC Drama', 'UCkbJc8jMcTXwhtmN5VMwfXg']",493만,3.2만
"['현주zutube', 'UCJMMSPO-0YnhxRWfGOPmqvA']",13.5만,85
"['D&J딘 and 줄리엣', 'UCv8lBJuzo6iCtYgZC8csBOg']",21.4만,449
"['지식인사이드', 'UCA_hgsFzmynpv1zkvA5A7jA']",266만,979
"['총몇명', 'UCRuSxVu4iqTK5kCh90ntAgA']",367만,750
"['The Tonight Show Starring Jimmy Fallon', 'UC8-Th83bH_thdKZDJCrn88g']",3230만,1.1만
"['숏박스', 'UC1B6SalAoiJD7eHfMUA9QrA']",328만,183
"['김만덕의 극한야생', 'UCWWbq-bWMCC3eCaGjdyU10w']",4.29만,15
"['ENA 이엔에이', 'UCAP8OK0GHFbnL5OkY3j04Xw']",68.2만,1.8만
"['OGAM Entertainment', 'UCkN6oIPrS-ovf5AU9BD7KCg']",18.4만,6.3천
"['핫이슈지', 'UCdMeT09aEFDCH0NghWV41HQ']",66.8만,45
"['잰잰바리', 'UCSxhYq6K0mxF24SmMGeNNQA']",30만,166
"['수쩡민', 'UCZB8FKm68UQPGWKebOel4Pw']",31.5만,115
"['카더정원', 'UCA6Z6cF3orXMmdeCPUH1-NA']",85.8만,353
"['Mozzarella Girl & Oppa', 'UCYgA4AOMCmg6vepDmkcOEgA']",33.3만,258
"['훼사원', 'UCF2AFWB3tROplgmkt3nOXIw']",36.5만,540
"['tvN SPORTS', 'UCtybqqaTj6Nx74Azdz1KrsA']",82.1만,5.5천
"['TVCHOSUN STAR', 'UC2Zi06YjNBM37g8d0IkHPMA']",38만,2.5천
"['찰스엔터', 'UCCZ-gBdN59pF39tbm16xvdQ']",65.6만,327
"['강쉪', 'UCrxSR4OGbJBVjYxp4xjWgZQ']",71.3만,960
"['뜬뜬 DdeunDdeun', 'UCDNvRZRgvkBTUkQzFoT_8rA']",259만,302
"['Mnet K-POP', 'UCbD8EppRX3ZwJSou-TVo90A']",2170만,4만
"['동네친구 강나미 [Kangnami]', 'UCrAhzG4rf642oTUCpdyo5Vw']",104만,545
"['나래식', 'UCzpmbFPlNij2V8pIseMmQ2Q']",22.5만,146
"['임영웅', 'UC3WZlO2Zl8NE1yIUgtwUtQw']",170만,780
"['인생84', 'UC1Rz7a_DWtsE9cQwSyElE0Q']",120만,268
"['짠한형 신동엽', 'UCikSO7mSQl-lx3BJOBzqA8w']",174만,319
"['WE DEM BOYZ 위댐보이즈', 'UCbWuJ2_MlwEjtRQrQ1u6dCA']",8.75만,172
"['NPOP', 'UC_6KWajhpTGG3LFpBLqkqXg']",16만,2.3천
"['SBS Golf', 'UC12XQWcIlaavjjbhh6EeMJw']",45.2만,1.9만
"['쯔양밖정원', 'UCHrX2qBKBuS2aUZkvr-UdxA']",37만,17
"['회사원A', 'UCnekLiljel-Px4ClMC7b3mg']",129만,945
"['너덜트', 'UCXEKwWflysXu312NmIP_dlw']",203만,108
"['허팝Heopop', 'UCk6bX-MZXdte_7kG8TbMkqg']",427만,2.3천
"['새덕후 Korean Birder', 'UCsbVGDDMTToaOwbzEK0_6Vg']",50.7만,223
"['웃고리즘', 'UCHUqcHqlaxm5NpmbK8hHD4g']",44.1만,290
"['JENNIE', 'UCNYi_zGmR519r5gYdOKLTjQ']",1410만,95
"['오늘의 주우재', 'UCw-kXdzxMdMdLNI0ZlFFbmA']",126만,671
"['Disney Plus Korea 디즈니 플러스 코리아', 'UCtdz9LWNNQKUg4Xpma_40Ug']",38.9만,4.5천
"['고로케 : goroke', 'UCthyk2hY8NnO-UZejtAZyNw']",4.73만,369
"['프응TV Honeybeefather', 'UCLJNGmEfcuugzEjLyZ6mKKw']",103만,345
"['OfficialGDRAGON', 'UCeU5qTuBiqTU5z-hyL6WITQ']",389만,27
"['QWER', 'UCgD0APk2x9uBlLM0UsmhQjw']",115만,482
"['꾸준 kkujun', 'UCxgeEPgtd5Aw7HgoEUXCauA']",42.3만,154
"['박수홍 행복해다홍', 'UCKUz_7LxgiMXa0lrwzzsKTQ']",54.9만,167
"['아옳이', 'UCE8SAlfZT-T8iwa7aOD8vaQ']",76.4만,217
"['띱 Deep', 'UCaxbXRPhdHPXjM-e-F00LVA']",175만,258
"['송승환의 원더풀 라이프', 'UCBFvTS1TRacj3jgzRt-t-xg']",29.5만,1.1천
"['먹어볼래TryToEat', 'UCTx3aCntDvkq-hGtOjKVSnQ']",187만,388
"['유슬비 YOOSEULBI', 'UCZrdvFEyELqLOAiTWhhH4Lg']",12.4만,227
"['진석기시대', 'UC12YJZLancDKojjbRunyhZA']",48.3만,394
"['유네린LIN', 'UCpGmwseGcRtyG8GxRmozKPA']",31.9만,417
"['닥터프렌즈', 'UCVfLNEch9YxD4tX1L-crkMQ']",134만,1.1천
"['TVCHOSUN MUSIC', 'UC33yEDM8q3N8BeMpZMdP66Q']",72만,6.9천
"['원지의하루', 'UC9gxOp_-R78phMHmv2bW_sg']",98.6만,324
"['KBS 레전드 케이팝', 'UCR5cyf8hncN_AaQPfmvmlgA']",176만,2.4만
"['쿠키런: 킹덤', 'UCAOTbNctDD0Hg5MG0enQpMQ']",32.7만,399
"['HYBE LABELS', 'UC3IZKseVpdzPSBaWxBxundA']",7670만,2.3천
"['감스트GAMST', 'UCbFzvzDu17eDZ3RIeaLRswQ']",283만,5천
"['곽튜브', 'UClRNDVO8093rmRTtLe4GEPw']",207만,374
"['요정재형', 'UCN5XdqTDRbyjXPF5NXUqWdA']",56.8만,278
"['SMTOWN', 'UCEf_Bc-KVd7onSeifS3py9g']",3300만,4.5천
"['더들리', 'UCmJEpV4hLzGWLU5rrdOHMhQ']",96.6만,544
"['TEO 테오', 'UC-uIpGINZDL-VIHQQzJW8jw']",127만,1.3천
"['율', 'UCGdHeheXkDBfDGiRrYtnebQ']",5.9만,34
"['아모르밍 amourming_', 'UCssqTnWMBQh-z50knVYthkQ']",1.35천,52
"['수록 soolog', 'UCX5rBfatvx4ssJgX2OBsFfw']",7.6만,121
"['츄라임 Chu Lime', 'UC_0j3MqVquldicqNC9lKACg']",5.28만,67
"['빈나', 'UCaBISwID7s6V1nVmOInbSnA']",2.83만,723
"['종지부부', 'UCOw9AWMLleR-RZ7mHI8Ij4A']",57.9만,1.7천
"['SEVENTEEN', 'UCfkXDY7vwkcJ8ddFGz8KusA']",1390만,2.7천
"['THE 프리지아', 'UCAbhooUR9thtUYAkLxk9iBg']",63.7만,91
"['다혜가다했다DAHYE', 'UCxuZNOyjmFDN2ZtSk81LErg']",14.6만,127
"['푸디젠 Foodie Jen', 'UClrOEuBPOU5Gg60dJ_49M-g']",35.4만,135
